Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Lead Score,Priority,Social Presence,Web Search Verification,Source
Dr. Batra Dental Care,,+91 90357 08131,Hagadur Main Rd,4.7,464,Unknown,https://www.google.com/maps/place/Dr.+Batra+Dental+Care/data=!4m7!3m6!1s0x3bae0d0243ec8dd9:0x3ef852c28244db49!8m2!3d12.9643932!4d77.754542!16s%2Fg%2F11ghf6yf2v!19sChIJ2Y3sQwINrjsRSdtEgsJS-D4?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
"I Smile Dental Care - Multispecialty dental clinic, Orthodontic & Implant Centre - Whitefield ( Dr JayachandraRaj's - br)",,+91 96115 40619,"1st floor, 2, Borewell Rd, above daba square restaurant, behind Ambedkar Circle",4.8,243,Unknown,"https://www.google.com/maps/place/I+Smile+Dental+Care+-+Multispecialty+dental+clinic,+Orthodontic+%26+Implant+Centre+-+Whitefield+%28+Dr+JayachandraRaj%27s+-+br%29/data=!4m7!3m6!1s0x3bae120369771641:0xf026d294fc344cbc!8m2!3d12.9693365!4d77.7353296!16s%2Fg%2F11c2ppgxzr!19sChIJQRZ3aQMSrjsRvEw0_JTSJvA?authuser=0&hl=en&rclk=1",73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Dr. Shukla's Dental Clinic,,+91 90878 87872,"1st Floor, Shop No-3 Aishwarya Complex, Nagondnahalli Main Road, post, near Shivakuntamma Temple",5.0,184,Unknown,https://www.google.com/maps/place/Dr.+Shukla%27s+Dental+Clinic/data=!4m7!3m6!1s0x3bae0fbe0b9e1063:0x44a4645b906117c!8m2!3d12.9757789!4d77.7613987!16s%2Fg%2F11t5sxdfv1!19sChIJYxCeC74PrjsRfBEGuUVGSgQ?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Dental Health Clinic,,+91 98451 01056,"150, 5th Cross, Opposite Dhanalaxmi Bank, KHB Colony, 60 Feet Rd, next to Juice Junction",4.6,133,Unknown,https://www.google.com/maps/place/Dental+Health+Clinic/data=!4m7!3m6!1s0x3bae14457272fd59:0xa78c0985308dff1b!8m2!3d12.9366162!4d77.620274!16s%2Fg%2F1tdcvjzl!19sChIJWf1yckUUrjsRG_-NMIUJjKc?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
"Smile Center Multispeciality Dental Clinic, Koramangala",,+91 80 4991 2754,"104,First Floor, Raheja Arcade, near Nexus Mall",5.0,119,Unknown,"https://www.google.com/maps/place/Smile+Center+Multispeciality+Dental+Clinic,+Koramangala/data=!4m7!3m6!1s0x3bae144dfe240675:0xa6d98a162da6242f!8m2!3d12.9344613!4d77.6134262!16s%2Fg%2F12ltkgh16!19sChIJdQYk_k0UrjsRLySmLRaK2aY?authuser=0&hl=en&rclk=1",73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Gia Dental Care,,+91 93809 28080,"Ground Floor, 347, 1st C Main Rd, near Lavish Pharmacy",5.0,147,Unknown,https://www.google.com/maps/place/Gia+Dental+Care/data=!4m7!3m6!1s0x3bae159e9ca7dcc9:0x4bfc0b776f5a206e!8m2!3d12.9409488!4d77.6175985!16s%2Fg%2F11l5hjp7qz!19sChIJydynnJ4VrjsRbiBab3cL_Es?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
"Dr Sudheer's COSMODENT DENTAL HUB, ORTHODONTIC, ALIGNER AND IMPLANT CENTER",,+91 98450 02862,"1st Main, #1007,1st Floor ,1st Cross, Mahatyagi Laksmidevi Rd",4.9,157,Unknown,"https://www.google.com/maps/place/Dr+Sudheer%27s+COSMODENT+DENTAL+HUB,+ORTHODONTIC,+ALIGNER+AND+IMPLANT+CENTER/data=!4m7!3m6!1s0x3bae1467281ef131:0xf90ab40ee4c7ac98!8m2!3d12.9300368!4d77.6335179!16s%2Fg%2F1tfkzmzz!19sChIJMfEeKGcUrjsRmKzH5A60Cvk?authuser=0&hl=en&rclk=1",73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
Dr. Chahal Aesthetic Clinic,,+91 63666 46777,"Bus stop, # 47, Lakshmi Venkateshwara Road, Nanjappa Reddy Layout, opposite Regional Passport Office",4.8,1133,Unknown,https://www.google.com/maps/place/Dr.+Chahal+Aesthetic+Clinic/data=!4m7!3m6!1s0x3bae14480bd8567f:0xdb713d7a4b596cac!8m2!3d12.9446935!4d77.6189925!16s%2Fg%2F11bt_j1grk!19sChIJf1bYC0gUrjsRrGxZS3o9cds?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
csk speciality dental clinic chennai /karaikudi,,+91 98843 50036,"18, Mariamman Kovil St, near Vani vidhyalaya school",4.9,297,Unknown,https://www.google.com/maps/place/csk+speciality+dental+clinic+chennai+%2Fkaraikudi/data=!4m7!3m6!1s0x3a5266d30f7a6c85:0xbaede13d4fcbb14b!8m2!3d13.039934!4d80.1905504!16s%2Fg%2F11c3l97mnt!19sChIJhWx6D9NmUjoRS7HLTz3h7bo?authuser=0&hl=en&rclk=1,73,Hot,none,no matching own-domain result in top results (checked 2x),Google Maps
MM Clinic,,+91 96329 44355,"#253/253/D, Appareddy Palya Rd",5.0,512,No,https://www.google.com/maps/place/MM+Clinic/data=!4m7!3m6!1s0x3bae16a69ad0c8bf:0xc6fa0d65be3dc514!8m2!3d12.9744053!4d77.6385928!16s%2Fg%2F11bbrlnfdw!19sChIJv8jQmqYWrjsRFMU9vmUN-sY?authuser=0&hl=en&rclk=1,68,Warm,none,no comparable tokens in name,Google Maps
ಅಮೋಗ dental studio,,+91 98862 18758,"tree park metro station, No 28, Prasanth Layout, Prasanth Extension,behind south indian bank kadugodi",4.5,366,No,https://www.google.com/maps/place/%E0%B2%85%E0%B2%AE%E0%B3%8B%E0%B2%97+dental+studio/data=!4m7!3m6!1s0x3bae0e033c45d73f:0xc9bbbb406db2e998!8m2!3d12.9843947!4d77.7492988!16s%2Fg%2F11c1vhkhfv!19sChIJP9dFPAMOrjsRmOmybUC7u8k?authuser=0&hl=en&rclk=1,68,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Dr. Raiyan's Bangalore Dental Clinic,,+91 89515 93062,"138, Shivaji Rd, opposite pension mohalla masjid",5.0,33,Unknown,https://www.google.com/maps/place/Dr.+Raiyan%27s+Bangalore+Dental+Clinic/data=!4m7!3m6!1s0x3bae17414191c1bb:0x67f859f46974bf1b!8m2!3d12.9871939!4d77.6019944!16s%2Fg%2F11f6f_jfj7!19sChIJu8GRQUEXrjsRG790afRZ-Gc?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Dental Care Centre,,+91 80 4116 1563,"165, 9th Cross Rd",4.9,82,Unknown,https://www.google.com/maps/place/Dental+Care+Centre/data=!4m7!3m6!1s0x3bae16bb2bf033f9:0xdfefc910bf978f0b!8m2!3d12.9809745!4d77.6391534!16s%2Fg%2F11c2lytx3k!19sChIJ-TPwK7sWrjsRC4-XvxDJ798?authuser=0&hl=en&rclk=1,63,Warm,none,no comparable tokens in name,Google Maps
Smile Lounge Dental Care,,+91 80 2528 8388,"373/1, 100 Feet Rd",4.9,80,Unknown,https://www.google.com/maps/place/Smile+Lounge+Dental+Care/data=!4m7!3m6!1s0x3bae16a7cd181f4b:0x903e77444d81b830!8m2!3d12.9725476!4d77.6413327!16s%2Fg%2F12606m7ln!19sChIJSx8YzacWrjsRMLiBTUR3PpA?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Dental Bliss,,+91 80 4371 2712,"No. 648,17th C Cross, Ground Floor, Chinmaya Mission Hospital Rd",4.9,69,Unknown,https://www.google.com/maps/place/Dental+Bliss/data=!4m7!3m6!1s0x3bae16a2fdd0d859:0x82431ac59cb0f2d0!8m2!3d12.9779088!4d77.6335357!16s%2Fg%2F11f2w580vt!19sChIJWdjQ_aIWrjsR0PKwnMUaQ4I?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
ARS Dental hub,,+91 98234 50664,,4.8,95,Unknown,https://www.google.com/maps/place/ARS+Dental+hub/data=!4m7!3m6!1s0x3bae15ee15feec8b:0x8da3cc6234cf97d2!8m2!3d12.9625527!4d77.6146148!16s%2Fg%2F11tb_qppqz!19sChIJi-z-Fe4VrjsR0pfPNGLMo40?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Family Dentacare & Implant Center,,+91 96116 67932,"371 1st Floor Patel seethappa colony HAL 3rd Stage, New Tippasandra Diagnally, opp. to: Krishna Bhavan Restaurant",4.8,43,Unknown,https://www.google.com/maps/place/Family+Dentacare+%26+Implant+Center/data=!4m7!3m6!1s0x3bae16aadb036b79:0x804ffe3e3957fe9e!8m2!3d12.9722972!4d77.6527349!16s%2Fg%2F1hm34wlwf!19sChIJeWsD26oWrjsRnv5XOT7-T4A?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
"Reflection Dental Clinic - Best Dental Clinic in Whitefield, Dentist in Whitefield, root canal treatment in whitefield",,+91 80734 09565,"1st floor, Reflection Facethetics, 101, 6, Varthur Main Rd, opposite Palm Meadows",4.7,68,Unknown,"https://www.google.com/maps/place/Reflection+Dental+Clinic+-+Best+Dental+Clinic+in+Whitefield,+Dentist+in+Whitefield,+root+canal+treatment+in+whitefield/data=!4m7!3m6!1s0x3bae1213f82a9e9d:0x8d705443849275cc!8m2!3d12.9568734!4d77.7408586!16s%2Fg%2F11gfd6qt9z!19sChIJnZ4q-BMSrjsRzHWShENUcI0?authuser=0&hl=en&rclk=1",63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
"Dentelope Advanced Dental care| Whitefield,Nallurhalli",,+91 63646 09627,"3 Tsn babu,opposite to sbb sapphire,Victorian View Layout",5.0,23,Unknown,"https://www.google.com/maps/place/Dentelope+Advanced+Dental+care%7C+Whitefield,Nallurhalli/data=!4m7!3m6!1s0x3bae13ab3bc55ce3:0xe846e432bcdb0036!8m2!3d12.966993!4d77.7393668!16s%2Fg%2F11nr0zwxd1!19sChIJ41zFO6sTrjsRNgDbvDLkRug?authuser=0&hl=en&rclk=1",63,Warm,none,search failed: ConnectError: ConnectError('error sending request for url (https://www.startpage.com/) > client error (Connect) > tcp connect error > Connection refused (os error 111)') (checked 2x),Google Maps
Maruthi Dental Clinic,,+91 94487 03632,"AP Nilaya, Immadihalli Main Rd",4.8,60,Unknown,https://www.google.com/maps/place/Maruthi+Dental+Clinic/data=!4m7!3m6!1s0x3bae0dfc0d016fbb:0xeb72fe464d445e07!8m2!3d12.9696165!4d77.7522011!16s%2Fg%2F11c5z_cn2h!19sChIJu28BDfwNrjsRB15ETUb-cus?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Amrik smile and dental clinic,,+91 91820 36895,"3rd floor, Amrik Hospital, 209, Swami Vivekananda Road",4.7,28,Unknown,https://www.google.com/maps/place/Amrik+smile+and+dental+clinic/data=!4m7!3m6!1s0x3bae0fe6876a864b:0x9cd7b241e2797f7!8m2!3d12.9828451!4d77.7479504!16s%2Fg%2F11s9z9c2g4!19sChIJS4Zqh-YPrjsR95cnHiR7zQk?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Sadguru Sai Dental Clinic,,+91 99722 48763,"First floor, 615, Mayura bakery road, Immadihalli Main Rd, above Navratan jewellers",5.0,88,Unknown,https://www.google.com/maps/place/Sadguru+Sai+Dental+Clinic/data=!4m7!3m6!1s0x3bae0dfc0feb9411:0xe35231c725b497b4!8m2!3d12.9698165!4d77.7518343!16s%2Fg%2F1tvq2kfk!19sChIJEZTrD_wNrjsRtJe0JccxUuM?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
KIDZ SMILE DENTAL CARE,,+91 90357 77698,"3rd floor,No: 578/444, MCC Tower, Main Road",5.0,48,Unknown,https://www.google.com/maps/place/KIDZ+SMILE+DENTAL+CARE/data=!4m7!3m6!1s0x3bae0d910eaadc0d:0xa6b47f4d90f2d2c1!8m2!3d12.9559151!4d77.7309146!16s%2Fg%2F11ys1v6t0v!19sChIJDdyqDpENrjsRwdLykE1_tKY?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
NAM DENTAL CARE,,+91 80895 09880,"near Ganesh Temple, next to kidzee preschool",5.0,61,Unknown,https://www.google.com/maps/place/NAM+DENTAL+CARE/data=!4m7!3m6!1s0x3bae0f40f4ede43d:0x92d972f8eb627516!8m2!3d12.9764208!4d77.7569216!16s%2Fg%2F11v3xkn5vf!19sChIJPeTt9EAPrjsRFnVi6_hy2ZI?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
White Pearls Dental,,+91 94926 37001,"1st floor, Anjanappa Building, Varthur Main Rd, opp. Jagriti Apt Ramagondanahalli",4.9,95,Unknown,https://www.google.com/maps/place/White+Pearls+Dental/data=!4m7!3m6!1s0x3bae13ba9858b215:0xc1cd9da1f3bf6f0a!8m2!3d12.956911!4d77.74117!16s%2Fg%2F11krs0d942!19sChIJFbJYmLoTrjsRCm-_86GdzcE?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
RK Dental Clinic,,+91 90359 18327,opp. Palm meadows,4.8,26,Unknown,https://www.google.com/maps/place/RK+Dental+Clinic/data=!4m7!3m6!1s0x3bae139f34332963:0x36c9a07f1cf155cf!8m2!3d12.956876!4d77.7402532!16s%2Fg%2F11r9w6t664!19sChIJYykzNJ8TrjsRz1XxHH-gyTY?authuser=0&hl=en&rclk=1,63,Warm,none,no comparable tokens in name,Google Maps
Sattva Multispeciality Dental Care,,+91 63625 49115,"Hagadur Main Rd, opposite Shri Gangadhareshwara Swamy Temple",5.0,43,Unknown,https://www.google.com/maps/place/Sattva+Multispeciality+Dental+Care/data=!4m7!3m6!1s0x3bae0de5ecaa3099:0xcf29a04572bdb85f!8m2!3d12.964885!4d77.7555312!16s%2Fg%2F11q3t8mcy1!19sChIJmTCq7OUNrjsRX7i9ckWgKc8?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Janatha Dental Clinic,,+91 99167 30519,"3, Immadihalli Main Rd",4.9,58,Unknown,https://www.google.com/maps/place/Janatha+Dental+Clinic/data=!4m7!3m6!1s0x3bae0d0268b2e0b5:0x2d230ff4e1a0f3a3!8m2!3d12.969583!4d77.752748!16s%2Fg%2F11h12_n_ys!19sChIJteCyaAINrjsRo_Og4fQPIy0?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
G M Dental Clinic Orthodontics & Implantology,,+91 93429 62359,"45, 10th cross, &, Varthur Main Rd, opposite Government School, behind Domino's Pizza",4.9,51,Unknown,https://www.google.com/maps/place/G+M+Dental+Clinic+Orthodontics+%26+Implantology/data=!4m7!3m6!1s0x3bae1213dba3c1f5:0x3aa44c12a376b36f!8m2!3d12.9573354!4d77.7385988!16s%2Fg%2F1v1sjnf9!19sChIJ9cGj2xMSrjsRb7N2oxJMpDo?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
"Avnee's Dental Clinic | Root Canal Treatment | Implant Centre | Invisalign, Aligners |",,+91 72041 60995,Immadihalli Main Rd,5.0,66,Unknown,"https://www.google.com/maps/place/Avnee%27s+Dental+Clinic+%7C+Root+Canal+Treatment+%7C+Implant+Centre+%7C+Invisalign,+Aligners+%7C/data=!4m7!3m6!1s0x3bae0d92b4089d45:0x469872e851eef666!8m2!3d12.9696051!4d77.7662798!16s%2Fg%2F11xgv9_g59!19sChIJRZ0ItJINrjsRZvbuUehymEY?authuser=0&hl=en&rclk=1",63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Blossom Dental Clinic,,+91 78925 60272,"365, Nagondanahalli Channasandra Main Road Nagondanahalli",5.0,57,Unknown,https://www.google.com/maps/place/Blossom+Dental+Clinic/data=!4m7!3m6!1s0x3bae0fb5c974ec19:0xbda562f24eb3b9cb!8m2!3d12.9764566!4d77.7710082!16s%2Fg%2F11s63lsy7k!19sChIJGex0ybUPrjsRy7mzTvJipb0?authuser=0&hl=en&rclk=1,63,Warm,none,search failed: ConnectError: ConnectError('error sending request for url (https://www.startpage.com/) > client error (Connect) > tcp connect error > Connection refused (os error 111)') (checked 2x),Google Maps
"Blooms Dental Care Kormangala | Best Dentist for Braces,Aligners, Implants & Root Canal Treatments",,+91 81239 82595,"No.1010, First Floor, 7th A Main Road, S.T Bed , Kormangala, near Wipro Park, above Apollo Pharmacy",5.0,62,Unknown,"https://www.google.com/maps/place/Blooms+Dental+Care+Kormangala+%7C+Best+Dentist+for+Braces,Aligners,+Implants+%26+Root+Canal+Treatments/data=!4m7!3m6!1s0x3bae15cc8635ed0d:0x7f4774ef2ad85141!8m2!3d12.9303771!4d77.6336601!16s%2Fg%2F11y2ntvvkf!19sChIJDe01hswVrjsRQVHYKu90R38?authuser=0&hl=en&rclk=1",63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Vardhana's Dental Clinic In 5th Block Koramangala,,+91 99162 78993,"Ground Floor, Day Lane, 137, 1st A cross Rd, next to JNC Cafe Coffee before Hatti Kappi",5.0,51,Unknown,https://www.google.com/maps/place/Vardhana%27s+Dental+Clinic+In+5th+Block+Koramangala/data=!4m7!3m6!1s0x3bae1592595d0333:0x5cc09c2a4f98dcbb!8m2!3d12.9340608!4d77.6173155!16s%2Fg%2F11q24yc6kf!19sChIJMwNdWZIVrjsRu9yYTyqcwFw?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Devi Dental Clinic,,+91 98452 91142,"36/A, Sri Rama Temple Rd",4.9,58,Unknown,https://www.google.com/maps/place/Devi+Dental+Clinic/data=!4m7!3m6!1s0x3bae159522c8a963:0xb5d984032236cb1d!8m2!3d12.9434404!4d77.6283723!16s%2Fg%2F11rxl5v5yl!19sChIJY6nIIpUVrjsRHcs2IgOE2bU?authuser=0&hl=en&rclk=1,63,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Lathika Dental Clinic,,+91 80 2526 4149,"584, 6th Cross Road, 10th Main Road, New Thippasandra, HAL 3rd Stage, near Miranda School",4.7,56,No,https://www.google.com/maps/place/Lathika+Dental+Clinic/data=!4m7!3m6!1s0x3bae1401cb6c0aa7:0xfaa0175b4071c32!8m2!3d12.9693293!4d77.6507514!16s%2Fg%2F1wb8s42r!19sChIJpwpsywEUrjsRMhwHtHUBqg8?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Shree Vinayaka Dental & Health Care Centre,,+91 80 2528 9937,"XJHQ+2P6, 9th A Main Rd",4.5,40,No,https://www.google.com/maps/place/Shree+Vinayaka+Dental+%26+Health+Care+Centre/data=!4m7!3m6!1s0x3bae16a454c75a61:0x9ef75f357922dc4b!8m2!3d12.9775473!4d77.6392687!16s%2Fg%2F1pty8zhyv!19sChIJYVrHVKQWrjsRS9wieTVf954?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Denticare,,+91 94480 24457,"19, Paramahansa Yogananda Rd",5.0,41,No,https://www.google.com/maps/place/Denticare/data=!4m7!3m6!1s0x3bae16a153b1df53:0x93366456731087b9!8m2!3d12.9736929!4d77.6359282!16s%2Fg%2F1z44qthkj!19sChIJU9-xU6EWrjsRuYcQc1ZkNpM?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Dr. Gangadhara’s Dental Surgery,,+91 80503 53544,"No 8, Church Street, Road, opposite Adhunik Alpine, next to Murthal Paratha Co",4.2,22,Unknown,https://www.google.com/maps/place/Dr.+Gangadhara%E2%80%99s+Dental+Surgery/data=!4m7!3m6!1s0x3bae0dfe9c1f02a9:0x4f2475b9e0d5560f!8m2!3d12.9710387!4d77.7506236!16s%2Fg%2F1tf46l9k!19sChIJqQIfnP4NrjsRD1bV4Ll1JE8?authuser=0&hl=en&rclk=1,58,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
MF Dental Clinic,,+91 98861 33440,"27/1, Haines Rd, next to SS Function Hall",5.0,8,Unknown,https://www.google.com/maps/place/MF+Dental+Clinic/data=!4m7!3m6!1s0x3bae17ea3f9ddfa7:0xada2901c72def15d!8m2!3d12.9926543!4d77.6070484!16s%2Fg%2F11npyj89zj!19sChIJp9-dP-oXrjsRXfHechyQoq0?authuser=0&hl=en&rclk=1,48,Warm,none,no comparable tokens in name,Google Maps
Renuka Dental Clinic,,+91 80 2525 8968,"6, 17th F Cross Road",3.8,24,No,https://www.google.com/maps/place/Renuka+Dental+Clinic/data=!4m7!3m6!1s0x3bae16bcd5e25085:0x1e027770d99d3087!8m2!3d12.9784023!4d77.6330659!16s%2Fg%2F1tf73znw!19sChIJhVDi1bwWrjsRhzCd2XB3Ah4?authuser=0&hl=en&rclk=1,48,Warm,none,no matching own-domain result in top results (checked 2x),Google Maps
Dr. Sachin's dental clinic and implant center | Dental clinic in Whitefield | Dentist in Whitefield,,+91 88614 46589,"25/2, 25/2, Immadihalli Main Rd, near cauvery bakery",5.0,8,Unknown,https://www.google.com/maps/place/Dr.+Sachin%27s+dental+clinic+and+implant+center+%7C+Dental+clinic+in+Whitefield+%7C+Dentist+in+Whitefield/data=!4m7!3m6!1s0x3bae0d4c46113dbb:0xef526d34f5e3902d!8m2!3d12.9670426!4d77.7598178!16s%2Fg%2F11pbjty8yl!19sChIJuz0RRkwNrjsRLZDj9TRtUu8?authuser=0&hl=en&rclk=1,48,Warm,none,search failed: Request timed out: ConnectTimeout('timed out') (checked 2x),Google Maps
